"ia","imd","imp_weight"
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0.5,1,1.08927439459209
0.5,2,1.05287148718728
0.5,3,1.03543401799922
0.5,4,1.01272456985496
0.5,5,1
1,1,1.18666757475392
1,2,1.10861786334484
1,3,1.07217423996984
1,4,1.02562804962794
1,5,1
1.5,1,1.29293311027129
1.5,2,1.16739612218986
1.5,3,1.11026703589696
1.5,4,1.03871141414438
1.5,5,1
2,1,1.40889576587708
2,2,1.22937141863178
2,3,1.14976012948568
2,4,1.05197561245392
2,5,1
2.5,1,1.53545828626132
2.5,2,1.29471744850232
2.5,3,1.19070263323093
2.5,4,1.06542157578123
2.5,5,1
3,1,1.67360882485708
3,2,1.36361684596904
3,3,1.23314508723466
3,4,1.07905022602841
3,5,1
3.5,1,1.82442907667518
3.5,2,1.43626160008503
3.5,3,1.27713950219066
3.5,4,1.09286248473056
3.5,5,1
4,1,1.9891031810616
4,2,1.5128534920759
4,3,1.32273940693975
4,4,1.1068592823558
4,5,1
4.5,1,2.16892746639068
4.5,2,1.59360455510736
4.5,3,1.36999990096601
4.5,4,1.12104156782869
4.5,5,1
5,1,2.365321115423
5,2,1.67873755842371
5,3,1.41897771216782
5,4,1.13541031815482
5,5,1
5.5,1,2.57983783740712
5.5,2,1.76848651788264
5.5,3,1.46973126018818
5.5,4,1.14996654801383
5.5,5,1
6,1,2.81417864106004
6,2,1.8630972350501
6,3,1.5223207255429
6,4,1.16471131919534
6,5,1
6.5,1,3.07020581136265
6.5,2,1.96282786712901
6.5,3,1.5768081247173
6.5,4,1.17964574974887
6.5,5,1
7,1,3.34995820276532
7,2,2.06794953012255
7,3,1.63325739135259
7,4,1.19477102272824
7,5,1
7.5,1,3.65566797194437
7.5,2,2.17874693771998
7.5,3,1.69173446357027
7.5,4,1.21008839441518
7.5,5,1
8,1,3.98977888480659
8,2,2.29551907848432
8,3,1.75230737742634
8,4,1.22559920192342
8,5,1
8.5,1,4.35496634510026
8.5,2,2.4185799340052
8.5,3,1.81504636642823
8.5,4,1.2413048700939
8.5,5,1
9,1,4.75415930580093
9,2,2.54825924072909
9,3,1.88002396698684
9,4,1.25720691760618
9,5,1
9.5,1,5.19056423959142
9.5,2,2.68490329824324
9.5,3,1.94731512962884
9.5,4,1.27330696225176
9.5,5,1
10,1,5.66769136133011
10,2,2.82887582683773
10,3,2.01699733576068
10,4,1.2896067253283
10,5,1
10.5,1,6.18938331347546
10.5,2,2.98055887719526
10.5,3,2.08915071972568
10.5,4,1.30610803513329
10.5,5,1
11,1,6.75984654528439
11,2,3.14035379511179
11,3,2.16385819589241
11,4,1.32281282955194
11,5,1
11.5,1,7.38368563823652
11.5,2,3.30868224417078
11.5,3,2.24120559048175
11.5,4,1.33972315775092
11.5,5,1
12,1,8.06594085383638
12,2,3.48598728934452
12,3,2.32128177785308
12,4,1.35684118100877
12,5,1
12.5,1,8.81212920585715
12.5,2,3.67273454453811
12.5,3,2.40417882096675
12.5,4,1.37416917272035
12.5,5,1
13,1,9.62828938734827
13,2,3.86941338712826
13,3,2.48999211575567
13,4,1.39170951762925
13,5,1
13.5,1,10.5210309138045
13.5,2,4.07653824265951
13.5,3,2.57882053918359
13.5,4,1.40946471035736
13.5,5,1
14,1,11.497587877581
14,2,4.29464994288352
14,3,2.67076660076902
14,4,1.42743735329764
14,5,1
14.5,1,12.5658777457829
14.5,2,4.5243171604815
14.5,3,2.76593659742395
14.5,4,1.44563015394937
14.5,5,1
15,1,13.7345656742297
15,2,4.76613792390182
15,3,2.86444077148534
15,4,1.46404592178156
15,5,1
15.5,1,15.0131348542857
15.5,2,5.02074121588427
15.5,3,2.96639347186366
15.5,4,1.48268756470265
15.5,5,1
16,1,16.4119634577803
16,2,5.28878865943758
16,3,3.07191331829175
16,4,1.50155808522165
16,5,1
16.5,1,17.942408797961
16.5,2,5.57097629518307
16.5,3,3.1811233687027
16.5,4,1.5206605763852
16.5,5,1
17,1,19.616899382243
17,2,5.86803645422899
17,3,3.29415128980802
17,4,1.53999821755862
17,5,1
17.5,1,21.4490355957101
17.5,2,6.18073973096868
17.5,3,3.41112953102211
17.5,4,1.55957427013886
17.5,5,1
18,1,23.4536998232
18,2,6.50989706043749
18,3,3.53219550188489
18,4,1.57939207325236
18,5,1
18.5,1,25.6471768933462
18.5,2,6.8563619051666
18.5,3,3.65749175320626
18.5,4,1.59945503950333
18.5,5,1
19,1,28.0472858106264
19,2,7.22103255683371
19,3,3.78716616221322
19,4,1.61976665083945
19,5,1
19.5,1,30.6735238310326
19.5,2,7.60485455818035
19.5,3,3.9213721219353
19.5,4,1.64033045455224
19.5,5,1
20,1,33.5472240364914
20,2,8.00882325127747
20,3,4.06026873521513
20,4,1.66115005948831
20,5,1
