"ia","imp_weight"
0.005,1.06118562202436
0.01,1.12618209418331
0.015,1.19523110839331
0.02,1.26858990373556
0.025,1.34653227220334
0.03,1.42934962923244
0.035,1.51735215315283
0.04,1.61086999796192
0.045,1.71025458409955
0.05,1.8158799722067
0.055,1.92814432516534
0.06,2.04747146405814
0.065,2.17431252404409
0.07,2.30914771653362
0.075,2.45248820445092
0.08,2.60487809781077
0.085,2.76689657729325
0.09,2.93916015400427
0.095,3.12232507411271
0.1,3.31708987763712
0.105,3.52419812122732
0.11,3.74444127543443
0.115,3.97866180761473
0.12,4.22775646235206
0.125,4.49267975201022
0.13,4.77444767088118
0.135,5.07414164719893
0.14,5.39291274825341
0.145,5.7319861547818
0.15,6.09266592186123
0.155,6.47634004462472
0.16,6.88448584829503
0.165,7.31867572326322
0.17,7.78058322730132
0.175,8.27198957835128
0.18,8.79479056287858
0.185,9.35100388633908
0.19,9.94277699404665
0.195,10.5723953924617
0.2,11.2422915029077
0.205,11.955054081742
0.21,12.7134382431258
0.215,13.5203761229175
0.22,14.3789882246708
0.225,15.2925954911788
0.23,16.2647321480373
0.235,17.2991593684153
0.24,18.3998798114567
0.245,19.5711530901639
0.25,20.8175122279534
